Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.7425,34,5,5,1.06123889798
0.002,2.7425,35,6,7,2.0435949419
0.002,2.7425,36,5,5,2.1469485538599997
0.002,2.7425,37,7,8,2.6713405167400004
0.002,2.7425,38,5,8,2.61808509396
0.002,2.7425,39,5,7,6.54058461949
0.002,2.7425,4,5,5,1.50340158179
0.002,2.7425,40,5,6,3.12040982143
0.002,2.7425,41,5,5,1.56449757274
0.002,2.7425,42,9,11,2.85272595477
0.002,2.7425,43,5,9,3.3109855356299995
0.002,2.7425,44,5,5,3.0535114760299997
0.002,2.7425,45,6,7,3.42375867424
0.002,2.7425,46,5,5,0.847295472261
0.002,2.7425,47,5,5,2.63003008373
0.002,2.7425,48,5,5,1.2621149504200002
0.002,2.7425,49,5,5,1.3528482359
0.002,2.7425,5,5,5,1.46129800122
0.002,2.7425,50,6,8,2.00957641224
0.002,2.7425,51,5,6,3.12551762903
0.002,2.7425,52,5,5,1.2165166963299998
0.002,2.7425,53,5,5,1.5979125566299999
0.002,2.7425,54,5,5,2.9256619086400004
0.002,2.7425,55,5,5,1.39204997808
0.002,2.7425,56,6,7,2.8589887844099997
0.002,2.7425,57,5,5,1.6098192119499999
0.002,2.7425,58,5,6,1.8638707864200001
0.002,2.7425,59,5,7,3.32805572829
0.002,2.7425,6,5,5,2.4140119377300002
0.002,2.7425,60,5,5,2.3172309171400003
0.002,2.7425,61,5,5,2.43427419725
0.002,2.7425,62,5,5,1.4318798417200003
0.002,2.7425,63,5,5,1.8640463475799998
0.002,2.7425,64,5,6,3.2645951484299998
0.002,2.7425,65,5,5,1.91278411087
0.002,2.7425,66,5,6,2.5787991314400003
0.002,2.7425,67,5,6,3.2344464841500002
0.002,2.7425,68,5,5,1.7352203608
0.002,2.7425,69,5,7,3.9892356965400007
0.002,2.7425,7,5,6,4.75226651764
0.002,2.7425,70,5,5,1.23610458408
0.002,2.7425,71,5,6,3.87465127379
0.002,2.7425,72,5,5,1.84489610598
0.002,2.7425,73,5,7,6.4922709378
0.002,2.7425,74,5,6,3.3540777541000004
0.002,2.7425,75,5,5,3.03926852843
0.002,2.7425,76,5,6,2.40418082012
0.002,2.7425,77,5,7,4.01774438494
0.002,2.7425,78,5,5,1.6918025245299997
0.002,2.7425,79,5,5,0.9613160826
0.002,2.7425,8,5,5,4.45382340562
0.002,2.7425,80,5,5,1.0694580703
0.002,2.7425,81,6,6,1.66216004178
0.002,2.7425,82,6,8,1.9500744892700002
0.002,2.7425,83,5,5,1.20202571403
0.002,2.7425,84,5,5,0.7414388688789999
0.002,2.7425,85,5,5,2.33518404137
0.002,2.7425,86,5,7,3.60761236118
0.002,2.7425,87,5,6,1.0864965579299999
0.002,2.7425,88,5,5,1.7920265072
0.002,2.7425,89,5,5,1.8240519638599997
0.002,2.7425,9,5,6,2.2146211795
0.002,2.7425,90,7,7,4.842127036540001
0.002,2.7425,91,6,8,2.32445519256
0.002,2.7425,92,5,6,1.8828218084700001
