Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,66,5,5,2.56015930928
0.002,2.0,67,5,5,3.73356511443
0.002,2.0,68,5,5,2.22226529368
0.002,2.0,69,5,5,1.30357681354
0.002,2.0,7,5,5,0.8148216081919999
0.002,2.0,70,5,5,2.3518668676599996
0.002,2.0,71,5,5,4.302851330959999
0.002,2.0,72,5,5,3.13500763811
0.002,2.0,73,5,5,2.6915661718700004
0.002,2.0,74,5,5,1.29780640714
0.002,2.0,75,5,5,1.85143809096
0.002,2.0,76,5,5,1.58070857352
0.002,2.0,77,5,5,1.0460307111799998
0.002,2.0,78,5,5,3.67762725339
0.002,2.0,79,5,5,1.0812086776899998
0.002,2.0,8,5,5,1.82872589485
0.002,2.0,80,5,5,1.29779379898
0.002,2.0,81,5,5,1.5184982804299998
0.002,2.0,82,5,5,2.0179523916
0.002,2.0,83,5,5,0.921273352496
0.002,2.0,84,5,5,0.7147259235179999
0.002,2.0,85,5,5,2.31694493175
0.002,2.0,86,5,5,1.59630344989
0.002,2.0,87,5,5,0.540675251822
0.002,2.0,88,5,5,1.77530473654
0.002,2.0,89,5,5,1.7455626847299999
0.002,2.0,9,5,5,2.82175930593
0.002,2.0,90,5,5,1.0320088961299998
0.002,2.0,91,5,5,3.65643836699
0.002,2.0,92,5,5,3.41171394745
0.002,2.0,93,5,5,1.95493596338
0.002,2.0,94,5,5,1.3497697121399999
0.002,2.0,95,5,5,1.7197138358900002
0.002,2.0,96,5,5,1.5388408919299998
0.002,2.0,97,5,5,3.1969776428600003
0.002,2.0,98,5,5,1.8118665595299999
0.002,2.0,99,5,5,3.17464054671
0.002,2.2475,0,5,5,1.0841993540700001
0.002,2.2475,1,5,5,2.4940725520599996
0.002,2.2475,10,5,5,1.8312776063499998
0.002,2.2475,11,5,5,2.30483382742
0.002,2.2475,12,5,5,4.75433671534
0.002,2.2475,13,5,5,2.85318376676
0.002,2.2475,14,5,6,2.14460225462
0.002,2.2475,15,5,5,3.5791280825199996
0.002,2.2475,16,5,5,1.38521959483
0.002,2.2475,17,5,5,0.700217870722
0.002,2.2475,18,5,5,1.8040832455700002
0.002,2.2475,19,5,5,1.51395676333
0.002,2.2475,2,5,5,2.00037868407
0.002,2.2475,20,5,5,2.6656109043700003
0.002,2.2475,21,5,5,3.0617291760799996
0.002,2.2475,22,5,5,2.28622021929
0.002,2.2475,23,5,5,3.28896641281
0.002,2.2475,24,5,5,0.813175839456
0.002,2.2475,25,5,5,4.904543995959999
0.002,2.2475,26,5,5,0.717792002771
0.002,2.2475,27,5,5,5.53095619415
0.002,2.2475,28,5,5,1.10443546404
0.002,2.2475,29,5,5,2.34318938162
0.002,2.2475,3,5,5,1.8827240315
0.002,2.2475,30,5,5,2.7586665486
0.002,2.2475,31,5,5,0.508300999015
0.002,2.2475,32,5,5,1.47622802728
0.002,2.2475,33,6,6,2.80658285125
0.002,2.2475,34,6,6,2.1960019969299998
0.002,2.2475,35,5,5,1.80018578598
0.002,2.2475,36,5,5,1.69922874274
0.002,2.2475,37,5,5,2.3604169691599997
0.002,2.2475,38,5,5,1.0286037089
0.002,2.2475,39,5,5,3.02384842887
0.002,2.2475,4,5,5,1.5336903049200001
0.002,2.2475,40,5,5,1.07097927762
0.002,2.2475,41,5,5,0.8388251805879999
0.002,2.2475,42,5,5,1.99587779882
0.002,2.2475,43,5,5,1.96638527616
0.002,2.2475,44,5,6,2.29151610249
0.002,2.2475,45,5,5,0.608791713652
0.002,2.2475,46,5,5,2.44461846873
0.002,2.2475,47,5,5,1.33479260388
0.002,2.2475,48,5,5,5.17014317231
