Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.0,8,4,4,2.58189189072
0.002,2.0,80,2,2,0.7925558248010001
0.002,2.0,81,5,8,2.41062365255
0.002,2.0,82,5,7,3.8303331889199996
0.002,2.0,83,2,2,1.23357794611
0.002,2.0,84,3,3,1.8907470801099997
0.002,2.0,85,1,1,0.0936119528899
0.002,2.0,86,3,3,2.05704791645
0.002,2.0,87,2,2,0.587559267285
0.002,2.0,88,2,2,0.557344545923
0.002,2.0,89,1,1,0.244686800392
0.002,2.0,9,5,5,10.3234125608
0.002,2.0,90,2,2,0.19001385592300002
0.002,2.0,91,4,8,3.61908240763
0.002,2.0,92,2,2,1.6992502925400002
0.002,2.0,93,6,7,2.62105467461
0.002,2.0,94,4,4,1.62876230445
0.002,2.0,95,2,2,2.33999445714
0.002,2.0,96,4,5,1.3715010849399998
0.002,2.0,97,7,8,3.0672485197299997
0.002,2.0,98,1,1,0.309810270238
0.002,2.0,99,4,4,3.99237349521
0.002,2.11,0,5,6,3.34891170332
0.002,2.11,1,1,1,1.5911739017
0.002,2.11,10,1,1,0.004001316065130001
0.002,2.11,11,2,2,3.73317532063
0.002,2.11,12,1,1,0.37269614209
0.002,2.11,13,1,1,0.151049630608
0.002,2.11,14,2,2,1.4893005328600002
0.002,2.11,15,3,3,1.17621555047
0.002,2.11,16,1,1,0.7589073170720001
0.002,2.11,17,2,2,0.804197317615
0.002,2.11,18,2,2,1.8708891790400002
0.002,2.11,19,1,1,0.22620921352899998
0.002,2.11,2,1,1,0.19298062048
0.002,2.11,20,2,3,1.9058281805500001
0.002,2.11,21,1,1,0.024100379714000003
0.002,2.11,22,4,4,2.2332322755500003
0.002,2.11,23,1,1,0.184793728701
0.002,2.11,24,4,7,3.14582800407
0.002,2.11,25,2,2,1.5016625647
0.002,2.11,26,1,1,0.05223758468880001
0.002,2.11,27,3,5,2.4634525373800003
0.002,2.11,28,4,5,1.8220951350299999
0.002,2.11,29,1,1,0.10275126561100001
0.002,2.11,3,1,1,0.147684937175
0.002,2.11,30,2,2,2.69613476008
0.002,2.11,31,2,2,0.9664637604530001
0.002,2.11,32,3,4,1.5298306425100001
0.002,2.11,33,5,7,5.71903339248
0.002,2.11,34,2,2,0.541106474305
0.002,2.11,35,1,1,0.11861636798800002
0.002,2.11,36,2,2,4.43322716604
0.002,2.11,37,5,6,2.8121576421
0.002,2.11,38,4,6,2.00048805431
0.002,2.11,39,1,1,0.36600951245499996
0.002,2.11,4,1,1,0.00786485755046
0.002,2.11,40,3,3,1.45766820641
0.002,2.11,41,1,1,0.0452137561857
0.002,2.11,42,3,3,2.93214353498
0.002,2.11,43,2,2,1.6419464443399998
0.002,2.11,44,1,1,0.00764963895009
0.002,2.11,45,1,1,0.564769942097
0.002,2.11,46,7,13,5.31335168033
0.002,2.11,47,2,3,1.30302535382
0.002,2.11,48,1,1,0.29708534861200003
0.002,2.11,49,1,1,0.0327522530735
