Beta,Alpha,Iter,MaxInf,EventInf,Time_Fin
0.002,2.33,54,1,1,0.00958998286664
0.002,2.33,55,1,1,0.830305051694
0.002,2.33,56,1,1,1.27420404829
0.002,2.33,57,1,1,0.9065007046529999
0.002,2.33,58,1,1,4.798050528359999
0.002,2.33,59,1,1,0.023662191017
0.002,2.33,6,1,1,0.326152964164
0.002,2.33,60,1,1,0.299745809764
0.002,2.33,61,1,1,0.914457501688
0.002,2.33,62,1,1,0.7031122822310001
0.002,2.33,63,1,1,1.7833134335599998
0.002,2.33,64,1,1,0.257782795062
0.002,2.33,65,1,1,0.158352826579
0.002,2.33,66,1,1,3.22284407389
0.002,2.33,67,1,1,1.2551740929000001
0.002,2.33,68,1,1,0.555190596646
0.002,2.33,69,1,1,0.034925471256699994
0.002,2.33,7,1,1,0.121605883123
0.002,2.33,70,1,1,0.6281579224480001
0.002,2.33,71,1,1,1.37369548102
0.002,2.33,72,1,1,0.763859865486
0.002,2.33,73,1,1,0.09500132488530001
0.002,2.33,74,1,1,1.63384491611
0.002,2.33,75,1,1,3.7559514107
0.002,2.33,76,1,1,1.6949494770500002
0.002,2.33,77,1,1,0.771363265168
0.002,2.33,78,1,1,0.34524086562399997
0.002,2.33,79,1,1,0.136379887643
0.002,2.33,8,1,1,2.31959267774
0.002,2.33,80,1,1,0.0641395993842
0.002,2.33,81,1,1,0.142956529038
0.002,2.33,82,1,1,0.409796269186
0.002,2.33,83,1,1,0.163441744897
0.002,2.33,84,1,1,0.306146016226
0.002,2.33,85,1,1,2.24996411196
0.002,2.33,86,1,1,3.25611104639
0.002,2.33,87,1,1,1.37230962418
0.002,2.33,88,1,1,0.05146194936430001
0.002,2.33,89,1,1,0.160613948184
0.002,2.33,9,1,1,1.6120411273500002
0.002,2.33,90,1,1,1.96051241932
0.002,2.33,91,1,1,0.39490551348999997
0.002,2.33,92,1,1,0.827483822911
0.002,2.33,93,1,1,0.312554497278
0.002,2.33,94,1,1,1.1747128927200001
0.002,2.33,95,1,1,1.1798797201
0.002,2.33,96,1,1,0.48796703491300003
0.002,2.33,97,1,1,2.30675833973
0.002,2.33,98,1,1,0.787000025905
0.002,2.33,99,1,1,0.469956032691
0.002,2.44,0,1,1,4.70075371308
