Time,I, R, S
0.415742959611,270,39,9691
0.416083478944,269,40,9691
0.416877531763,270,40,9690
0.417309841388,271,40,9689
0.418117771788,270,41,9689
0.418308208487,271,41,9688
0.418693896417,272,41,9687
0.418838949507,273,41,9686
0.419617351671,272,42,9686
0.420048873742,273,42,9685
0.420426784883,274,42,9684
0.420717998059,275,42,9683
0.420814334337,276,42,9682
0.420977637032,277,42,9681
0.422255176303,278,42,9680
0.422348023248,279,42,9679
0.422470226731,280,42,9678
0.422784214891,281,42,9677
0.423541334116,282,42,9676
0.425211123457,283,42,9675
0.426898032677,284,42,9674
0.427459223542,285,42,9673
0.428114042896,286,42,9672
0.428519200922,287,42,9671
0.428937337887,288,42,9670
0.430585318371,289,42,9669
0.430782320072,290,42,9668
0.431856999626,291,42,9667
0.432055214581,292,42,9666
0.43287683599,293,42,9665
0.432904500835,294,42,9664
0.43292944576,295,42,9663
0.433120830514,296,42,9662
0.433877977114,295,43,9662
0.434627989023,296,43,9661
0.434826275977,297,43,9660
0.435215207523,298,43,9659
0.435217729998,297,44,9659
0.43522118453,298,44,9658
0.436459281108,299,44,9657
0.436716830966,300,44,9656
0.437364737723,301,44,9655
0.437654596185,300,45,9655
0.438150467008,301,45,9654
0.438727530751,302,45,9653
0.43879294854,303,45,9652
0.439033020028,302,46,9652
0.439819697664,303,46,9651
0.439931819004,304,46,9650
0.440020297923,305,46,9649
0.440044192143,306,46,9648
0.440885745656,307,46,9647
0.441071673084,308,46,9646
0.441313883048,309,46,9645
0.441342841881,308,47,9645
0.441386049461,309,47,9644
0.442579531843,308,48,9644
0.443863070325,309,48,9643
0.443891033778,310,48,9642
0.444113943328,311,48,9641
0.444461638634,310,49,9641
0.444923624171,311,49,9640
0.445254539388,312,49,9639
0.445347068524,311,50,9639
0.445782879466,312,50,9638
0.445888559337,313,50,9637
0.446288760696,314,50,9636
0.448527951282,315,50,9635
0.448963293076,316,50,9634
0.449983392285,317,50,9633
0.450205021197,318,50,9632
0.450314791604,319,50,9631
0.450433517526,320,50,9630
0.45078145604,321,50,9629
0.450940299709,320,51,9629
0.451781813689,321,51,9628
0.452585360614,322,51,9627
0.453684242462,323,51,9626
0.454162086522,324,51,9625
0.454595518641,323,52,9625
0.454642507959,324,52,9624
0.455031097201,325,52,9623
0.455186482517,326,52,9622
0.455674825171,325,53,9622
0.457394999102,326,53,9621
0.45753785139,327,53,9620
0.457559680474,328,53,9619
0.45828801496,329,53,9618
0.458350965566,328,54,9618
